Easting,Northing,Tree_ID,Year,Nests_Removed
520587,173995,,2013,8
520587,174000,,2013,2
520585,174053,,2013,6
520580,173428,,2013,1
520580,173989,,2013,4
520580,174189,,2013,14
520578,173998,,2013,19
520575,174077,,2013,12
520574,174059,,2013,5
520574,174101,,2013,9
520573,173985,,2013,13
520573,174027,,2013,8
520573,174051,,2013,9
520572,174056,,2013,3
520566,174130,,2013,2
520565,174044,,2013,3
520564,174032,,2013,10
520564,174448,,2013,33
520564,174536,,2013,6
520563,174056,,2013,1
520563,174077,,2013,1
520563,174462,,2013,2
520562,174093,,2013,6
520562,174124,,2013,7
520560,173990,,2013,23
520560,174070,,2013,13
520560,174192,,2013,5
520556,173516,,2013,1
520556,174055,,2013,12
520555,174086,,2013,7
520553,173966,,2013,2
520553,174013,,2013,9
520553,174127,,2013,2
520551,174002,,2013,3
520551,174136,,2013,2
520550,173774,,2013,1
520550,174090,,2013,9
520550,174091,,2013,1
520549,173987,,2013,21
520549,174128,,2013,1
520548,172515,,2013,2
520547,174133,,2013,5
520542,174024,,2013,6
520540,174047,,2013,8
520540,174120,,2013,2
520536,173776,,2013,2
520535,172883,,2013,1
520535,174036,,2013,15
520534,172515,,2013,3
520534,173965,,2013,1
520533,174117,,2013,3
520530,173980,,2013,3
520529,172493,,2013,3
520526,173806,,2013,9
520526,174006,,2013,4
520524,172502,,2013,7
520524,173435,,2013,3
520522,171700,,2013,1
520520,174014,,2013,1
520520,174121,,2013,14
520519,173959,,2013,1
520519,173995,,2013,20
520519,174049,,2013,14
520516,173965,,2013,1
520515,174003,,2013,1
520515,174062,,2013,35
520513,173959,,2013,7
520511,174014,,2013,8
520510,174015,,2013,8
520510,174033,,2013,24
520510,174090,,2013,2
520510,174114,,2013,2
520510,174467,,2013,2
520506,173962,,2013,3
520502,173802,,2013,1
520501,172527,,2013,9
520501,174010,,2013,1
520500,174057,,2013,5
520500,174097,,2013,54
520486,173959,,2013,4
520481,173959,,2013,5
520478,171642,,2013,1
520475,172504,,2013,1
520473,171761,,2013,1
520472,171805,,2013,2
520472,173400,,2013,5
520471,171786,,2013,2
520470,171644,,2013,1
520470,172515,,2013,8
520466,172536,,2013,6
520466,173947,,2013,6
520463,173626,,2013,1
520450,173362,,2013,1
520438,173529,,2013,2
520433,171610,,2013,1
520417,173930,,2013,4
520411,173344,,2013,1
520409,173640,,2013,1
520402,173690,,2013,6
520389,173399,,2013,1
520369,173377,,2013,2
520359,174315,,2013,2
520343,174306,,2013,1
520341,172632,,2013,1
520337,172643,,2013,1
520325,172620,,2013,5
520317,173894,,2013,4
520313,173400,,2013,1
520307,172617,,2013,6
520302,174407,,2013,7
520291,173930,,2013,3
520271,173951,,2013,2
520267,173903,,2013,1
520261,173904,,2013,2
520258,171666,,2013,18
520257,173945,,2013,4
520244,172561,,2013,2
520241,171874,,2013,1
520238,173975,,2013,4
520227,173963,,2013,1
520215,171612,,2013,1
520215,172540,,2013,6
520213,173327,,2013,4
520211,173328,,2013,2
520210,174297,,2013,16
520209,174343,,2013,3
520205,172722,,2013,1
520199,171807,,2013,1
520195,171745,,2013,2
520195,173324,,2013,2
520186,173332,,2013,1
520182,174187,,2013,1
520175,173310,,2013,2
520174,174158,,2013,1
520169,171593,,2013,2
520169,173910,,2013,1
520169,174262,,2013,7
520169,174297,,2013,11
520166,173887,,2013,4
520165,173719,,2013,1
520163,174176,,2013,1
520163,174195,,2013,1
520159,174202,,2013,1
520158,172508,,2013,1
520157,172552,,2013,1
520155,171831,,2013,4
520152,172488,,2013,1
520143,174402,,2013,1
520138,174163,,2013,1
520135,173521,,2013,2
520125,173877,,2013,8
520117,172708,,2013,1
520113,172526,,2013,2
520108,173907,,2013,3
520108,174161,,2013,1
520108,174168,,2013,1
520105,174468,,2013,3
520103,171420,,2013,2
520103,173416,,2013,3
520103,174450,,2013,5
520102,171778,,2013,3
520101,174410,,2013,1
520095,172425,,2013,5
520093,172742,,2013,1
520093,174405,,2013,1
520091,172748,,2013,1
520091,173794,,2013,6
520090,172717,,2013,1
520089,171395,,2013,5
520088,174130,,2013,1
520087,173193,,2013,3
520083,172024,,2013,1
520083,172744,,2013,2
520080,172430,,2013,3
520079,173395,,2013,7
520077,172556,,2013,1
520076,172720,,2013,3
520076,174062,,2013,1
520072,172586,,2013,1
520071,174399,,2013,10
520070,172630,,2013,1
520067,172449,,2013,1
520067,172727,,2013,1
520067,174395,,2013,4
520059,171496,,2013,1
520058,172600,,2013,2
520058,173578,,2013,1
520057,172084,,2013,1
520057,172526,,2013,1
520057,172956,,2013,13
520056,172046,,2013,1
520056,174087,,2013,2
520054,172962,,2013,1
520054,172968,,2013,1
520050,173597,,2013,1
520048,172566,,2013,1
520048,172728,,2013,1
520048,172978,,2013,4
520047,173796,,2013,4
520045,172743,,2013,1
520041,171342,,2013,1
520040,172421,,2013,1
520036,172679,,2013,2
520036,173412,,2013,1
520032,172056,,2013,3
520031,174072,,2013,1
520031,174077,,2013,1
520024,171464,,2013,1
520021,171751,,2013,1
520017,173580,,2013,1
520007,171422,,2013,1
520006,172627,,2013,1
520005,171963,,2013,1
520005,173873,,2013,2
520001,173872,,2013,5
520000,174021,,2013,4
519991,173433,,2013,2
519986,173936,,2013,3
519982,173876,,2013,2
519977,174078,,2013,3
519976,173797,,2013,1
519975,171387,,2013,3
519974,173925,,2013,1
519972,173911,,2013,2
519972,173946,,2013,1
519971,173864,,2013,2
519970,173873,,2013,4
519968,173878,,2013,1
519966,173892,,2013,8
519966,174144,,2013,2
519966,174454,,2013,1
519964,174034,,2013,1
519963,174139,,2013,1
519960,173776,,2013,3
519957,174048,,2013,2
519954,172440,,2013,3
519953,173797,,2013,2
519953,173884,,2013,18
519953,173903,,2013,4
519953,174027,,2013,2
519952,174394,,2013,19
519951,173859,,2013,1
519951,174092,,2013,1
519951,174482,,2013,3
519949,173944,,2013,1
519947,173863,,2013,6
519943,172468,,2013,7
519943,173430,,2013,2
519940,174257,,2013,1
519937,174220,,2013,2
519935,174075,,2013,1
519934,174063,,2013,1
519934,174068,,2013,2
519932,173928,,2013,2
519928,173779,,2013,2
519927,172412,,2013,1
519927,173781,,2013,8
519927,173805,,2013,1
519927,174070,,2013,4
519924,173815,,2013,1
519924,173856,,2013,2
519924,173924,,2013,1
519923,173861,,2013,7
519921,172629,,2013,1
519918,174069,,2013,3
519916,173814,,2013,4
519916,173858,,2013,2
519914,171337,,2013,3
519906,173832,,2013,2
519900,173637,,2013,1
519899,174017,,2013,2
519895,173849,,2013,1
519892,173858,,2013,3
519891,172639,,2013,3
519891,174008,,2013,2
519890,172622,,2013,3
519887,171804,,2013,1
519887,174109,,2013,2
519886,173881,,2013,1
519882,173839,,2013,3
519882,173888,,2013,2
519881,171310,,2013,1
519880,174063,,2013,1
519878,173994,,2013,3
519877,173825,,2013,1
519875,173846,,2013,1
519874,173843,,2013,1
519861,173840,,2013,1
519859,171322,,2013,1
519859,174442,,2013,30
519857,173995,,2013,13
519855,173909,,2013,3
519855,174450,,2013,6
519849,173806,,2013,1
519845,174136,,2013,12
519844,173792,,2013,10
519842,174012,,2013,1
519839,173903,,2013,4
519836,171354,,2013,1
519836,173110,,2013,4
519836,173843,,2013,8
519834,173789,,2013,2
519831,173931,,2013,6
519826,173877,,2013,16
519825,173906,,2013,3
519822,171566,,2013,2
519822,173453,,2013,3
519818,171214,,2013,3
519817,172904,,2013,2
519815,172918,,2013,2
519811,171698,,2013,2
519810,172911,,2013,3
519808,172054,,2013,1
519807,173880,,2013,2
519806,171600,,2013,1
519806,174022,,2013,1
519802,171243,,2013,1
519802,172902,,2013,2
519801,172901,,2013,1
519801,174037,,2013,5
519798,173865,,2013,1
519791,173887,,2013,13
519789,174022,,2013,3
519788,173995,,2013,1
519783,173147,,2013,7
519781,174037,,2013,2
519767,173857,,2013,1
519766,173998,,2013,1
519765,173876,,2013,1
519748,173630,,2013,1
519744,173500,,2013,1
519738,171057,,2013,2
519734,174112,,2013,9
519733,171488,,2013,1
519733,173887,,2013,4
519731,171061,,2013,2
519731,171062,,2013,2
519731,173508,,2013,1
519729,171049,,2013,6
519728,173878,,2013,1
519727,174064,,2013,1
519724,172920,,2013,6
519720,172039,,2013,2
519719,171065,,2013,6
519718,171803,,2013,1
519717,171838,,2013,1
519717,172875,,2013,1
519712,173866,,2013,2
519708,172925,,2013,1
519704,171463,,2013,1
519702,172864,,2013,2
519693,172830,,2013,1
519690,174448,,2013,4
519688,170993,,2013,5
519688,172894,,2013,4
519682,171004,,2013,1
519682,172877,,2013,4
519667,172868,,2013,1
519663,172841,,2013,1
519662,173237,,2013,1
519660,172863,,2013,4
519659,170735,,2013,1
519655,171505,,2013,1
519653,172879,,2013,1
519652,172838,,2013,1
519644,173293,,2013,1
519644,173301,,2013,1
519644,173651,,2013,1
519640,170846,,2013,2
519639,171062,,2013,2
519638,170838,,2013,1
519635,171123,,2013,3
519634,172873,,2013,3
519633,171072,,2013,2
519631,170776,,2013,4
519628,170793,,2013,12
519626,171004,,2013,3
519626,173669,,2013,1
519625,170836,,2013,1
519625,170844,,2013,1
519625,171068,,2013,2
519622,173317,,2013,6
519619,170784,,2013,1
519619,172710,,2013,1
519618,171001,,2013,1
519618,171107,,2013,2
519617,171552,,2013,1
519614,171112,,2013,1
519614,174115,,2013,1
519612,172807,,2013,1
519611,171030,,2013,1
519611,172032,,2013,1
519609,172823,,2013,1
519605,171008,,2013,2
519604,171019,,2013,1
519603,171679,,2013,1
519602,172693,,2013,10
519597,170909,,2013,2
519597,170920,,2013,2
519596,172600,,2013,24
519596,172877,,2013,4
519592,171751,,2013,3
519592,172754,,2013,1
519587,172574,,2013,3
519587,172699,,2013,7
519587,172745,,2013,8
519586,170839,,2013,1
519580,170850,,2013,1
519579,172754,,2013,2
519579,172822,,2013,3
519578,170907,,2013,3
519578,172798,,2013,2
519577,174117,,2013,2
519576,174367,,2013,1
519573,172672,,2013,5
519572,170833,,2013,2
519572,170904,,2013,7
519572,172847,,2013,5
519570,170616,,2013,1
519567,170849,,2013,4
519565,171869,,2013,1
519558,171168,,2013,1
519558,172786,,2013,3
519558,172802,,2013,4
519552,174429,,2013,17
519550,171163,,2013,1
519549,172690,,2013,3
519542,174411,,2013,4
519541,172730,,2013,3
519538,170901,,2013,2
519537,174124,,2013,2
519532,172752,,2013,3
519525,171626,,2013,1
519522,170597,,2013,2
519522,171920,,2013,1
519516,172038,,2013,3
519511,172052,,2013,2
519508,171127,,2013,1
519508,173694,,2013,1
519508,174062,,2013,2
519506,170712,,2013,1
519503,174091,,2013,1
519501,171119,,2013,1
519498,171132,,2013,1
519497,172030,,2013,2
519496,171141,,2013,2
519495,170832,,2013,1
519495,171033,,2013,1
519494,170810,,2013,1
519493,170823,,2013,1
519493,173557,,2013,1
519492,171049,,2013,3
519492,171938,,2013,2
519490,171132,,2013,3
519486,171026,,2013,1
519483,171031,,2013,1
519483,171045,,2013,8
519480,171025,,2013,3
519478,174050,,2013,1
519474,171034,,2013,3
519469,173078,,2013,2
519468,173386,,2013,2
519467,173089,,2013,2
519464,173381,,2013,1
519460,173370,,2013,2
519456,170625,,2013,1
519454,170809,,2013,1
519451,170826,,2013,1
519448,173660,,2013,1
519447,170833,,2013,6
519442,170740,,2013,1
519440,173406,,2013,2
519436,170572,,2013,1
519436,170823,,2013,2
519427,170925,,2013,4
519425,173076,,2013,2
519422,170561,,2013,1
519422,173642,,2013,6
519421,170782,,2013,1
519417,170791,,2013,1
519414,170615,,2013,8
519413,170790,,2013,1
519412,173626,,2013,2
519411,173970,,2013,2
519410,170911,,2013,4
519409,170766,,2013,1
519409,170912,,2013,1
519406,170762,,2013,3
519405,170826,,2013,2
519404,170760,,2013,2
519401,170791,,2013,1
519394,173084,,2013,2
519393,170839,,2013,3
519393,174393,,2013,1
519390,170555,,2013,2
519382,170644,,2013,3
519374,170617,,2013,1
519373,170601,,2013,3
519362,170625,,2013,12
519360,174004,,2013,3
519354,170620,,2013,3
519354,170624,,2013,1
519352,170581,,2013,4
519348,170608,,2013,1
519344,170487,,2013,4
519339,174345,,2013,1
519338,170573,,2013,1
519337,171365,,2013,2
519335,170535,,2013,1
519335,174016,,2013,1
519333,170499,,2013,1
519332,174036,,2013,1
519331,170542,,2013,1
519331,170589,,2013,2
519329,170479,,2013,4
519329,170521,,2013,2
519328,170612,,2013,1
519325,170536,,2013,1
519324,174082,,2013,2
519323,170517,,2013,2
519316,170544,,2013,1
519310,170608,,2013,2
519309,170554,,2013,2
519309,173747,,2013,1
